longitude,city,beds,days_on_mls,rent,baths,latitude,neighborhood
-122.265076,Berkeley,1,54,2895.0,1.0,37.87455,North Berkeley
-122.289581,Berkeley,Studio,37,2095.0,1.0,37.86871,West Berkeley
-122.272643,Berkeley,Studio,98,1165.0,1.0,37.870897,Southside
-122.272643,Berkeley,1,98,3108.33,1.3,37.870897,Southside
-122.272643,Berkeley,2,98,5051.67,1.7,37.870897,Southside
-122.272643,Berkeley,3,98,6995.0,2.0,37.870897,Southside
-122.283524,Berkeley,1,43,2975.0,1.0,37.8657,West Berkeley
-122.274307,Berkeley,Studio,1,1850.0,1.0,37.86945,Central Berkeley
-122.259598,Berkeley,Studio,155,2000.0,1.0,37.875435,North Berkeley
-122.253349,Berkeley,1,10,2500.0,2.0,37.856544,Claremont Elmwood
-122.264252,Berkeley,8,272,13000.0,3.0,37.862366,Southside
-122.274277,Berkeley,2,155,2600.0,1.0,37.880459,North Berkeley
-122.261986,Berkeley,Studio,329,1850.0,1.0,37.865318,Southside
-122.261986,Berkeley,1,329,2195.0,1.0,37.865318,Southside
-122.269356,Berkeley,2,1,3195.0,1.0,37.857536,Central Berkeley
-122.285789,Berkeley,1,9,2750.0,1.0,37.870918,West Berkeley
-122.282822,Berkeley,2,153,2250.0,1.0,37.853115,West Berkeley
-122.275841,Berkeley,1,64,2550.0,1.0,37.860695,Central Berkeley
-122.259056,Berkeley,2,10,2400.0,1.0,37.853607,Claremont Elmwood
-122.298965,Berkeley,1,252,3880.0,1.0,37.867413,West Berkeley
-122.276505,Berkeley,2,98,2195.0,1.0,37.848743,Central Berkeley
-122.253548,Berkeley,5,233,8990.0,2.0,37.868263,Southside
-122.265915,Berkeley,Studio,10,1350.0,1.0,37.86628,Southside
-122.262993,Berkeley,1,10,2400.0,1.0,37.888634,Berkeley Hills
-122.258148,Berkeley,3,1,6200.0,2.0,37.884514,Berkeley Hills
-122.259201,Berkeley,,0,3301.35,,37.856434,Claremont Elmwood
-122.27108,Berkeley,Studio,345,3455.0,1.0,37.871464,Southside
-122.27108,Berkeley,1,345,5427.5,1.8,37.871464,Southside
-122.27108,Berkeley,2,345,7400.0,2.5,37.871464,Southside
-122.266258,Berkeley,1,314,3195.0,1.0,37.867367,Southside
-122.286461,Berkeley,1,84,2295.0,1.0,37.872017,West Berkeley
-122.286461,Berkeley,2,84,2295.0,1.0,37.872017,West Berkeley
-122.262215,Berkeley,2,145,2295.0,1.0,37.855602,Claremont Elmwood
,Berkeley,Studio,147,1445.0,1.0,,"University of California, Berkeley"
,Berkeley,1,147,4198.5,1.5,,"University of California, Berkeley"
,Berkeley,2,147,6952.0,2.0,,"University of California, Berkeley"
,Berkeley,1,2,2495.0,1.0,,Central Berkeley
-122.269112,Berkeley,Studio,181,1895.0,1.0,37.871838,Southside
-122.270828,Berkeley,1,20,2200.0,1.0,37.880745,North Berkeley
-122.249295,Berkeley,Studio,6,1976.67,,37.866519,Southside
-122.253548,Berkeley,3,226,5990.0,1.0,37.868263,Southside
,Berkeley,Studio,92,1560.0,1.0,,Southside
,Berkeley,1,92,3956.67,1.3,,Southside
,Berkeley,2,92,6353.33,1.7,,Southside
,Berkeley,3,92,8750.0,2.0,,Southside
-122.281609,Berkeley,,1,3301.35,,37.864269,West Berkeley
-122.259735,Berkeley,Studio,197,1650.0,1.0,37.859161,Claremont Elmwood
,Berkeley,Studio,230,1795.0,1.0,,Southside
-122.258228,Berkeley,Studio,45,875.0,,37.878376,North Berkeley
-122.254097,Berkeley,Studio,1,1976.67,,37.8685,Southside
-122.280617,Berkeley,Studio,10,1900.0,1.0,37.851158,West Berkeley
-122.296542,Berkeley,1,134,1950.0,1.0,37.870505,West Berkeley
-122.28569,Berkeley,Studio,11,1570.0,1.0,37.861832,West Berkeley
-122.273659,Berkeley,4,159,4400.0,1.0,37.875557,North Berkeley
-122.273659,Berkeley,5,159,5150.0,1.5,37.875557,North Berkeley
-122.273659,Berkeley,6,159,5900.0,2.0,37.875557,North Berkeley
-122.284164,Berkeley,1,33,1900.0,1.0,37.870743,West Berkeley
-122.253258,Berkeley,1,10,2350.0,1.0,37.85651,Claremont Elmwood
-122.279114,Berkeley,1,9,2145.0,1.0,37.859196,Central Berkeley
-122.265152,Berkeley,Studio,329,1995.0,1.0,37.864979,Southside
-122.264977,Berkeley,Studio,365,1250.0,1.0,37.86462,Southside
-122.264977,Berkeley,1,365,2462.5,1.2,37.86462,Southside
-122.264977,Berkeley,2,365,3675.0,1.5,37.86462,Southside
-122.264977,Berkeley,3,365,4887.5,1.8,37.86462,Southside
-122.264977,Berkeley,4,365,6100.0,2.0,37.86462,Southside
-122.265465,Berkeley,3,166,3300.0,1.0,37.856754,Claremont Elmwood
-122.274193,Berkeley,3,33,3600.0,2.0,37.877583,Central Berkeley
-122.265152,Berkeley,Studio,1,1995.0,1.0,37.864979,Southside
-122.253258,Berkeley,2,11,2700.0,2.0,37.85651,Claremont Elmwood
-122.281609,Berkeley,,1,3301.35,,37.864269,West Berkeley
-122.262352,Berkeley,Studio,69,2195.0,1.0,37.863979,Southside
-122.262352,Berkeley,1,69,2695.0,1.0,37.863979,Southside
-122.262352,Berkeley,2,69,3195.0,1.0,37.863979,Southside
-122.271126,Berkeley,3,55,4000.0,2.0,37.852684,Central Berkeley
-122.277061,Berkeley,1,69,2365.0,1.0,37.87138,Central Berkeley
-122.277061,Berkeley,2,69,3062.0,1.4,37.87138,Central Berkeley
-122.277061,Berkeley,3,69,3759.0,1.8,37.87138,Central Berkeley
-122.277061,Berkeley,4,69,4456.0,2.2,37.87138,Central Berkeley
-122.277061,Berkeley,5,69,5153.0,2.6,37.87138,Central Berkeley
-122.277061,Berkeley,6,69,5850.0,3.0,37.87138,Central Berkeley
-122.250185,Berkeley,Studio,6,1976.67,,37.868305,Southside
-122.260902,Berkeley,2,274,3500.0,1.0,37.877399,North Berkeley
,Berkeley,2,54,3575.0,2.0,,North Berkeley
-122.281532,Berkeley,1,0,2300.0,1.0,37.862358,West Berkeley
-122.285072,Berkeley,Studio,18,2195.0,,37.852234,West Berkeley
-122.264832,Berkeley,Studio,13,1600.0,1.0,37.865944,Southside
-122.250443,Berkeley,Studio,1,1976.67,,37.868256,Southside
-122.266556,Berkeley,Studio,288,1650.0,1.0,37.882645,North Berkeley
-122.274673,Berkeley,1,1,2495.0,1.0,37.869098,Central Berkeley
-122.273819,Berkeley,2,25,2550.0,1.0,37.882294,North Berkeley
