longitude,city,beds,days_on_mls,rent,baths,zip_code,latitude
-122.267006,Berkeley,1,12,$2729.00/mo,1.0,94704,37.869205
-122.25013,Berkeley,2,353,$3800.00/mo,2.0,94704,37.866135
-122.261452,Berkeley,2,109,$3795.00/mo,1.0,94708,37.883282
-122.26207,Berkeley,2,17,$1647.00/mo,1.0,94704,37.866753
-122.274676,Berkeley,1,0,$2495.00/mo,1.0,94703,37.869098
-122.262265,Berkeley,2,222,$2600.00/mo,1.0,94704,37.866733
-122.255165,Berkeley,1,1,$2030.00/mo,1.0,94705,37.860111
-122.267326,Berkeley,Studio,110,$3449.00/mo,1.0,94704,37.872738
-122.267326,Berkeley,1,110,$4528.67/mo,1.3,94704,37.872738
-122.267326,Berkeley,2,110,$5608.33/mo,1.7,94704,37.872738
-122.267326,Berkeley,3,110,$6688.00/mo,2.0,94704,37.872738
-122.280617,Berkeley,Studio,10,$1900.00/mo,1.0,94702,37.851158
-122.265076,Berkeley,1,54,$2895.00/mo,1.0,94709,37.87455
-122.289581,Berkeley,Studio,37,$2095.00/mo,1.0,94702,37.86871
-122.272643,Berkeley,Studio,98,$1165.00/mo,1.0,94704,37.870897
-122.272643,Berkeley,1,98,$3108.33/mo,1.3,94704,37.870897
-122.272643,Berkeley,2,98,$5051.67/mo,1.7,94704,37.870897
-122.272643,Berkeley,3,98,$6995.00/mo,2.0,94704,37.870897
-122.283524,Berkeley,1,43,$2975.00/mo,1.0,94702,37.8657
-122.274307,Berkeley,Studio,1,$1850.00/mo,1.0,94703,37.86945
-122.259598,Berkeley,Studio,155,$2000.00/mo,1.0,94709,37.875435
-122.253349,Berkeley,1,10,$2500.00/mo,2.0,94705,37.856544
-122.264252,Berkeley,8,272,$13000.00/mo,3.0,94704,37.862366
-122.274277,Berkeley,2,155,$2600.00/mo,1.0,94709,37.880459
-122.261986,Berkeley,Studio,329,$1850.00/mo,1.0,94704,37.865318
-122.261986,Berkeley,1,329,$2195.00/mo,1.0,94704,37.865318
-122.269356,Berkeley,2,1,$3195.00/mo,1.0,94703,37.857536
-122.285789,Berkeley,1,9,$2750.00/mo,1.0,94702,37.870918
-122.282822,Berkeley,2,153,$2250.00/mo,1.0,94702,37.853115
-122.275841,Berkeley,1,64,$2550.00/mo,1.0,94703,37.860695
-122.259056,Berkeley,2,10,$2400.00/mo,1.0,94705,37.853607
-122.298965,Berkeley,1,252,$3880.00/mo,1.0,94710,37.867413
-122.276505,Berkeley,2,98,$2195.00/mo,1.0,94703,37.848743
-122.253548,Berkeley,5,233,$8990.00/mo,2.0,94704,37.868263
-122.265915,Berkeley,Studio,10,$1350.00/mo,1.0,94704,37.86628
-122.262993,Berkeley,1,10,$2400.00/mo,1.0,94708,37.888634
-122.258148,Berkeley,3,1,$6200.00/mo,2.0,94708,37.884514
-122.259201,Berkeley,,0,$3301.35/mo,,94705,37.856434
-122.27108,Berkeley,Studio,345,$3455.00/mo,1.0,94704,37.871464
-122.27108,Berkeley,1,345,$5427.50/mo,1.8,94704,37.871464
-122.27108,Berkeley,2,345,$7400.00/mo,2.5,94704,37.871464
-122.266258,Berkeley,1,314,$3195.00/mo,1.0,94704,37.867367
-122.286461,Berkeley,1,84,$2295.00/mo,1.0,94702,37.872017
-122.286461,Berkeley,2,84,$2295.00/mo,1.0,94702,37.872017
-122.262215,Berkeley,2,145,$2295.00/mo,1.0,94705,37.855602
,Berkeley,Studio,147,$1445.00/mo,1.0,94720,
,Berkeley,1,147,$4198.50/mo,1.5,94720,
,Berkeley,2,147,$6952.00/mo,2.0,94720,
,Berkeley,1,2,$2495.00/mo,1.0,94703,
-122.269112,Berkeley,Studio,181,$1895.00/mo,1.0,94704,37.871838
-122.270828,Berkeley,1,20,$2200.00/mo,1.0,94709,37.880745
-122.249295,Berkeley,Studio,6,$1976.67/mo,,94704,37.866519
-122.253548,Berkeley,3,226,$5990.00/mo,1.0,94704,37.868263
,Berkeley,Studio,92,$1560.00/mo,1.0,94704,
,Berkeley,1,92,$3956.67/mo,1.3,94704,
,Berkeley,2,92,$6353.33/mo,1.7,94704,
,Berkeley,3,92,$8750.00/mo,2.0,94704,
-122.281609,Berkeley,,1,$3301.35/mo,,94702,37.864269
-122.259735,Berkeley,Studio,197,$1650.00/mo,1.0,94705,37.859161
,Berkeley,Studio,230,$1795.00/mo,1.0,94704,
-122.258228,Berkeley,Studio,45,$875.00/mo,,94709,37.878376
-122.254097,Berkeley,Studio,1,$1976.67/mo,,94704,37.8685
-122.280617,Berkeley,Studio,10,$1900.00/mo,1.0,94702,37.851158
-122.296542,Berkeley,1,134,$1950.00/mo,1.0,94710,37.870505
-122.28569,Berkeley,Studio,11,$1570.00/mo,1.0,94702,37.861832
-122.273659,Berkeley,4,159,$4400.00/mo,1.0,94709,37.875557
-122.273659,Berkeley,5,159,$5150.00/mo,1.5,94709,37.875557
-122.273659,Berkeley,6,159,$5900.00/mo,2.0,94709,37.875557
-122.284164,Berkeley,1,33,$1900.00/mo,1.0,94702,37.870743
-122.253258,Berkeley,1,10,$2350.00/mo,1.0,94705,37.85651
-122.279114,Berkeley,1,9,$2145.00/mo,1.0,94703,37.859196
-122.265152,Berkeley,Studio,329,$1995.00/mo,1.0,94704,37.864979
-122.264977,Berkeley,Studio,365,$1250.00/mo,1.0,94704,37.86462
-122.264977,Berkeley,1,365,$2462.50/mo,1.2,94704,37.86462
-122.264977,Berkeley,2,365,$3675.00/mo,1.5,94704,37.86462
-122.264977,Berkeley,3,365,$4887.50/mo,1.8,94704,37.86462
-122.264977,Berkeley,4,365,$6100.00/mo,2.0,94704,37.86462
-122.265465,Berkeley,3,166,$3300.00/mo,1.0,94705,37.856754
-122.274193,Berkeley,3,33,$3600.00/mo,2.0,94703,37.877583
-122.265152,Berkeley,Studio,1,$1995.00/mo,1.0,94704,37.864979
-122.253258,Berkeley,2,11,$2700.00/mo,2.0,94705,37.85651
-122.281609,Berkeley,,1,$3301.35/mo,,94702,37.864269
-122.262352,Berkeley,Studio,69,$2195.00/mo,1.0,94704,37.863979
-122.262352,Berkeley,1,69,$2695.00/mo,1.0,94704,37.863979
-122.262352,Berkeley,2,69,$3195.00/mo,1.0,94704,37.863979
-122.271126,Berkeley,3,55,$4000.00/mo,2.0,94703,37.852684
-122.277061,Berkeley,1,69,$2365.00/mo,1.0,94703,37.87138
-122.277061,Berkeley,2,69,$3062.00/mo,1.4,94703,37.87138
-122.277061,Berkeley,3,69,$3759.00/mo,1.8,94703,37.87138
-122.277061,Berkeley,4,69,$4456.00/mo,2.2,94703,37.87138
-122.277061,Berkeley,5,69,$5153.00/mo,2.6,94703,37.87138
-122.277061,Berkeley,6,69,$5850.00/mo,3.0,94703,37.87138
-122.250185,Berkeley,Studio,6,$1976.67/mo,,94704,37.868305
-122.260902,Berkeley,2,274,$3500.00/mo,1.0,94709,37.877399
,Berkeley,2,54,$3575.00/mo,2.0,94709,
-122.281532,Berkeley,1,0,$2300.00/mo,1.0,94702,37.862358
-122.285072,Berkeley,Studio,18,$2195.00/mo,,94702,37.852234
-122.264832,Berkeley,Studio,13,$1600.00/mo,1.0,94704,37.865944
-122.250443,Berkeley,Studio,1,$1976.67/mo,,94704,37.868256
-122.266556,Berkeley,Studio,288,$1650.00/mo,1.0,94709,37.882645
-122.274673,Berkeley,1,1,$2495.00/mo,1.0,94703,37.869098
-122.273819,Berkeley,2,25,$2550.00/mo,1.0,94709,37.882294
